nom,description,site_web,categories,votes,localisation,fondateur,twitter,linkedin
Archyl,La plateforme moderne pour la documentation C4,https://www.archyl.com?utm_source=LesPepitesTech.com,"Software Engineering, Data visualisation, propetech",3,,,,
Questa AI,Discutez en toute sécurité avec Votre IA souveraine,https://www.questa-ai.com/?utm_source=LesPepitesTech.com,"Artificial Intelligence / Intelligence artificielle, informatique",1,,,,
Smerna,Société de transformation de dessin en expérience 3D,http://smerna.com?utm_source=LesPepitesTech.com,"impression 3d, dessins, Art",1,,,,
IaONBOARD,Des vidéos courtes prêtes à poster pour vos réseaux sociaux,https://iaonboard.com?utm_source=LesPepitesTech.com,"studio vidéo, création de contenu",1,,,,
Collabimo,Le 1er écosystème immobilier collaboratif nouvelle génération,http://www.collabimo.fr?utm_source=LesPepitesTech.com,"conseils immobiliers, annonces immobilières, credit immobilier, courtier immobilier",30,,,,
Logiciel France,Le premier répertoire qui répertorie tout les logiciels made in France,https://logicielfrance.com?utm_source=LesPepitesTech.com,"logiciel, frenchtech, SaaS, Annuaire, répertoire",1,,,,
Ventilo,App mobile qui simplifie la gestion d’événements,https://www.ventilo.io/?utm_source=LesPepitesTech.com,"evenement, billetterie, vente billet en ligne, organisation, Organisation de Soirée, Application mobile, Application",5,,,,
Voxolib,Avec le Call Tracking vous pouvez mesurer l'efficacité de toutes vos campagnes d'acquisition de leads,https://www.voxolib.com?utm_source=LesPepitesTech.com,"Relation Client, centre d'appels, call tracking, click-to-call",1,,,,
Scalt,"Plateforme d’agents IA “plug-and-play” qui connecte vos outils, données et APIs",https://scalt.ai?utm_source=LesPepitesTech.com,"AI agents, automatisation ia",110,,,,
hi ai,Client email alimenté par l'IA pour des réponses clients instantanées,https://hiaireply.com/fr/?utm_source=LesPepitesTech.com,"email, Artificial Intelligence / Intelligence artificielle",1,,,,
Unotif,Transformez l'écran verrouillé de votre audience en canal de communication direct,https://unotif.com/?utm_source=LesPepitesTech.com,"digital marketing, SaaS, wallet, push notification",4,,,,
OverClarity,Plateforme d’enablement IA qui centralise contenus & knowledge,https://www.overclarity.com?utm_source=LesPepitesTech.com,"enablement, content marketing, B2B Marketing, Artificial Intelligence / Intelligence artificielle, knowledge, analytics, Solutions B2B, Go to market, Sales Engagement, Engagement Client",6,,,,
Fanzone,Plateforme en ligne sur laquelle des sportifs de haut niveau vendent des expériences uniques,https://fanzoneqg.fr/?utm_source=LesPepitesTech.com,"Fan experience, coach sportif, communauté sportive, marketplace, padel, tennis, fencing",2,,,,
Spreadly,Créez votre carte de visite numérique avec Spreadly,https://spreadly.app/?utm_source=LesPepitesTech.com,"carte de visite, RH",1,,,,
Artisan Facture,Le logiciel de facturation et de gestion tout-en-un conçu spécifiquement pour les électriciens,https://www.artisanfacture.fr/?utm_source=LesPepitesTech.com,"facturation, facturation electronique, factures, facture électronique, Factur-X, devis, electricien, BTP, gestion de chantier, gain de temps",1,,,,
